workerid,proliferate.condition,CC,Southern_rating,SpeakerGender,age_correct,age_incorrect,age_rating,age_type,assertiveness_rating,block,compQuestionType,democrat_rating,empathy_rating,femininity_rating,file,intelligence_rating,item_type,list,list_whichSpPoliticsFirst,matrixName_correct,matrixName_incorrect,matrixName_type,matrix_clause,name,orientation,participant_beliefs,predicate,projection,republican_rating,rt,slide_number_in_experiment,socialInfo,spBelief_rating,topic,true_false,whichSpPoliticsFirst,error
4699,default,the minimum wage is too low,0.25,F,27,24,0.97,CORRECT,0.71,block2,name_question,0.46,0.54,0.61,F-N-Elizabeth.png,0.73,critical,list2,list2_S,Ken,Danielle,CORRECT,Ken doesn't see that,Elizabeth,liberal,,see,,0.48,14041,26,N,0.5,minimum_wage,,S,
4699,default,medicaid is underfunded,0.74,F,30,41,0.03,INCORRECT,0.65,block2,name_question,0.3,0.45,0.48,F-S-Sarah.png,0.65,critical,list2,list2_S,Allison,Judith,INCORRECT,Allison didn't pretend that,Sarah,liberal,,pretend,,0.64,19087,27,S,0.23,medicaid,,S,
4699,default,it is too easy to buy guns,0.19,M,34,18,0.96,CORRECT,0.59,block2,name_question,0.48,0.46,0.12,M-N-Daniel.png,0.58,critical,list2,list2_S,Owen,Fran,CORRECT,Owen didn't hear that,Daniel,liberal,,hear,,0.47,21535,28,N,0.48,gun_laws,,S,
4699,default,immigrants support the economy,0.28,F,29,18,0.96,CORRECT,0.69,block2,age_question,0.56,0.64,0.59,F-N-Helen.png,0.63,critical,list2,list2_S,Ben,Elena,CORRECT,Ben isn't right that,Helen,liberal,,be_right,,0.46,15962,29,N,0.65,immigrants,,S,
4699,default,the 2020 election was legitimate,0.89,M,25,21,0.07,INCORRECT,0.5,block2,age_question,0.31,0.5,0.16,M-S-Ryan.png,0.51,critical,list2,list2_S,Jen,Sam,INCORRECT,Jen doesn't know that,Ryan,liberal,,know,,0.73,18873,30,S,0.3,2020_election,,S,
4699,default,the military is underfunded,0.58,F,36,37,0,INCORRECT,0.63,block2,name_question,0.44,0.51,0.53,F-S-Donna.png,0.62,critical,list2,list2_S,Emma,Isabelle,INCORRECT,Emma doesn't know that,Donna,conservative,,know,,0.53,14001,31,S,0.47,military,,S,
4699,default,there are too few restrictions on welfare benefits,0.44,F,28,20,0.04,INCORRECT,0.59,block2,age_question,0.44,0.53,0.5,F-S-Rachel.png,0.69,itIsT_F,list2,list2_S,welfare,affirmative action,INCORRECT,NA,Rachel,conservative,,NA,,0.47,17321,32,S,0.56,welfare,,S,
4699,default,the uprising at the Capitol was patriotic,0.34,M,30,19,0.96,CORRECT,0.54,block2,age_question,0.48,0.55,0.22,M-N-John.png,0.52,critical,list2,list2_S,Glenn,Libby,CORRECT,Glenn didn't hear that,John,conservative,,hear,,0.48,14648,33,N,0.47,capitol_uprising,,S,
4699,default,the military is underfunded,,F,,,,,,block3,,,,,F-S-Donna.png,,critical,list2,list2_S,,,,Emma doesn't know that,Donna,conservative,,know,0.85,,18052,35,S,,military,NA,S,
4699,default,the agenda is longer than usual today,,F,,,,,,block3,,,,,F-N-Michelle.png,,critical,list2,list2_S,,,,Ethan doesn't see that,Michelle,N,,see,0.89,,10393,36,N,,agenda,NA,S,
4699,default,it is too easy to buy guns,,M,,,,,,block3,,,,,M-N-Daniel.png,,critical,list2,list2_S,,,,Owen didn't hear that,Daniel,liberal,,hear,0.84,,9211,37,N,,gun_laws,NA,S,
4699,default,the minimum wage is too low,,F,,,,,,block3,,,,,F-N-Elizabeth.png,,critical,list2,list2_S,,,,Ken doesn't see that,Elizabeth,liberal,,see,0.72,,42267,38,N,,minimum_wage,NA,S,
4699,default,the uprising at the Capitol was patriotic,,M,,,,,,block3,,,,,M-N-John.png,,critical,list2,list2_S,,,,Glenn didn't hear that,John,conservative,,hear,0.8,,20654,39,N,,capitol_uprising,NA,S,
4699,default,Trump's policies improved the American economy,,F,,,,,,block3,,,,,F-N-Lisa.png,,critical,list2,list2_S,,,,Tony doesn't see that,Lisa,conservative,,see,0.92,,45096,40,N,,Trump_economy,NA,S,
4699,default,it is too hard to get an abortion,,M,,,,,,block3,,,,,M-S-Joseph.png,,critical,list2,list2_S,,,,Grace didn't acknowledge,Joseph,liberal,,acknowledge,0.91,,14372,41,S,,abortion,NA,S,
4699,default,the organizers' contact info is outdated,,M,,,,,,block3,,,,,M-N-James.png,,critical,list2,list2_S,,,,Noah didn't hear that,James,N,,hear,0.92,,63960,42,N,,contact,NA,S,
4699,default,closing businesses during COVID was unnecessary,,F,,,,,,block3,,,,,F-S-Lily.png,,MC,list2,list2_S,,,,NA,Lily,conservative,,NA,0.74,,9944,43,S,,lockdown,NA,S,
4699,default,the break will be shortened today,,M,,,,,,block3,,,,,M-S-Jason.png,,critical,list2,list2_S,,,,Amelia didn't acknowledge,Jason,N,,acknowledge,0.79,,12512,44,S,,break,NA,S,
4699,default,last month's newsletter was sent late,,F,,,,,,block3,,,,,F-N-Anna.png,,critical,list2,list2_S,,,,Liam isn't right that,Anna,N,,be_right,0.84,,10519,45,N,,newsletter,NA,S,
4699,default,these events are well-organized,,M,,,,,,block3,,,,,M-S-Michael.png,,critical,list2,list2_S,,,,Leah didn't pretend that,Michael,N,,pretend,0.66,,12591,46,S,,organized,NA,S,
4699,default,immigrants support the economy,,F,,,,,,block3,,,,,F-N-Helen.png,,critical,list2,list2_S,,,,Ben isn't right that,Helen,liberal,,be_right,0.74,,11318,47,N,,immigrants,NA,S,
4699,default,the event website is working now,,M,,,,,,block3,,,,,M-N-Jacob.png,,MC,list2,list2_S,,,,NA,Jacob,N,,NA,0.86,,12410,48,N,,website,NA,S,
4699,default,there are too few restrictions on welfare benefits,,F,,,,,,block3,,,,,F-S-Rachel.png,,itIsT_F,list2,list2_S,,,,NA,Rachel,conservative,,NA,0.79,,10265,49,S,,welfare,false,S,
4699,default,the event was advertised on social media,,F,,,,,,block3,,,,,F-S-Kimberly.png,,critical,list2,list2_S,,,,Chloe doesn't know that,Kimberly,N,,know,0.95,,9274,50,S,,social_media,NA,S,
4699,default,Trump handled the pandemic well,,M,,,,,,block3,,,,,M-N-Tim.png,,critical,list2,list2_S,,,,Danny isn't right that,Tim,conservative,,be_right,0.82,,37989,51,N,,Trump_pandemic,NA,S,
4699,default,COVID is an overhyped virus,,M,,,,,,block3,,,,,M-S-Anthony.png,,critical,list2,list2_S,,,,Mary didn't acknowledge,Anthony,conservative,,acknowledge,0.85,,161289,52,S,,covid,NA,S,
4699,default,mask mandates are unnecessary,,F,,,,,,block3,,,,,F-S-Amy.png,,critical,list2,list2_S,,,,Wendy didn't pretend that,Amy,conservative,,pretend,0.71,,10175,53,S,,masks,NA,S,
4699,default,the 2020 election was legitimate,,M,,,,,,block3,,,,,M-S-Ryan.png,,critical,list2,list2_S,,,,Jen doesn't know that,Ryan,liberal,,know,0.86,,10081,54,S,,2020_election,NA,S,
4699,default,medicaid is underfunded,,F,,,,,,block3,,,,,F-S-Sarah.png,,critical,list2,list2_S,,,,Allison didn't pretend that,Sarah,liberal,,pretend,0.4,,16858,55,S,,medicaid,NA,S,
4604,default,medicaid is underfunded,,F,,,,,,block1,,,,,F-S-Sarah.png,,critical,list2,list2_S,,,,Allison doesn't think that,Sarah,liberal,0.84,think,,,8161,4,S,,medicaid,,S,
4604,default,it is too easy to buy guns,,M,,,,,,block1,,,,,M-N-Daniel.png,,critical,list2,list2_S,,,,Owen doesn't know that,Daniel,liberal,1,know,,,5586,5,N,,gun_laws,,S,
4604,default,COVID is an overhyped virus,,M,,,,,,block1,,,,,M-S-Anthony.png,,critical,list2,list2_S,,,,Mary didn't suggest that,Anthony,conservative,0,suggest,,,3553,6,S,,covid,,S,
4604,default,the 2020 election was legitimate,,M,,,,,,block1,,,,,M-S-Ryan.png,,critical,list2,list2_S,,,,Jen didn't confess that,Ryan,liberal,1,confess,,,4127,7,S,,2020_election,,S,
4604,default,Trump's policies improved the American economy,,F,,,,,,block1,,,,,F-N-Lisa.png,,critical,list2,list2_S,,,,Tony isn't annoyed that,Lisa,conservative,0,be_annoyed,,,5077,8,N,,Trump_economy,,S,
4604,default,mask mandates are unnecessary,,F,,,,,,block1,,,,,F-S-Amy.png,,critical,list2,list2_S,,,,Wendy doesn't think that,Amy,conservative,0.04,think,,,4140,9,S,,masks,,S,
4604,default,the capital of the US is in Ohio,,NA,,,,,,block1,,,,,NA.png,,O,list2,list2_S,,,,NA,NA,NA,0,NA,,,4647,10,NA,,capital,,S,
4604,default,it is too hard to get an abortion,,M,,,,,,block1,,,,,M-S-Joseph.png,,critical,list2,list2_S,,,,Grace didn't suggest that,Joseph,liberal,0,suggest,,,7477,11,S,,abortion,,S,
4604,default,the military is underfunded,,F,,,,,,block1,,,,,F-S-Donna.png,,critical,list2,list2_S,,,,Emma didn't confess that,Donna,conservative,0.91,confess,,,3704,12,S,,military,,S,
4604,default,U.S. presidential elections are held in November,,NA,,,,,,block1,,,,,NA.png,,O,list2,list2_S,,,,NA,NA,NA,1,NA,,,5499,13,NA,,elections,,S,
4604,default,Trump handled the pandemic well,,M,,,,,,block1,,,,,M-N-Tim.png,,critical,list2,list2_S,,,,Danny doesn't see that,Tim,conservative,0,see,,,3844,14,N,,Trump_pandemic,,S,
4604,default,the uprising at the Capitol was patriotic,,M,,,,,,block1,,,,,M-N-John.png,,critical,list2,list2_S,,,,Glenn doesn't know that,John,conservative,0,know,,,4099,15,N,,capitol_uprising,,S,
4604,default,immigrants support the economy,,F,,,,,,block1,,,,,F-N-Helen.png,,critical,list2,list2_S,,,,Ben doesn't see that,Helen,liberal,1,see,,,7258,16,N,,immigrants,,S,
4604,default,the minimum wage is too low,,F,,,,,,block1,,,,,F-N-Elizabeth.png,,critical,list2,list2_S,,,,Ken isn't annoyed that,Elizabeth,liberal,1,be_annoyed,,,3032,17,N,,minimum_wage,,S,
4604,default,closing businesses during COVID was unnecessary,,F,,,,,,block1,,,,,F-S-Lily.png,,MC,list2,list2_S,,,,NA,Lily,conservative,0.09,NA,,,3882,18,S,,lockdown,,S,
4604,default,the minimum wage is too low,0.19,F,27,24,0,INCORRECT,0.78,block2,name_question,0.2,0.79,0.92,F-N-Elizabeth.png,0.19,critical,list2,list2_S,Ken,Sally,INCORRECT,Ken isn't annoyed that,Elizabeth,liberal,,be_annoyed,,0.32,51075,20,N,0.81,minimum_wage,,S,
4604,default,it is too hard to get an abortion,0.09,M,27,37,0,INCORRECT,0.73,block2,name_question,0.76,0.48,0.03,M-S-Joseph.png,0.62,critical,list2,list2_S,Grace,Marie,INCORRECT,Grace didn't suggest that,Joseph,liberal,,suggest,,0.47,32647,21,S,0.15,abortion,,S,
4604,default,it is too easy to buy guns,0,M,34,21,1,CORRECT,0.87,block2,name_question,0.13,0.36,0.01,M-N-Daniel.png,0.8,critical,list2,list2_S,Owen,Olivia,CORRECT,Owen doesn't know that,Daniel,liberal,,know,,0.89,33959,22,N,0.08,gun_laws,,S,
4604,default,Trump handled the pandemic well,0.33,M,26,19,0.98,CORRECT,0.34,block2,name_question,0.29,0.87,0.03,M-N-Tim.png,0.22,critical,list2,list2_S,Danny,Judith,CORRECT,Danny doesn't see that,Tim,conservative,,see,,0.64,28798,23,N,0.81,Trump_pandemic,,S,
4604,default,the uprising at the Capitol was patriotic,0.1,M,30,31,1,CORRECT,0.82,block2,age_question,0.51,0.78,0.02,M-N-John.png,0.62,critical,list2,list2_S,Glenn,Charlotte,CORRECT,Glenn doesn't know that,John,conservative,,know,,0.53,35227,24,N,0.21,capitol_uprising,,S,
4604,default,closing businesses during COVID was unnecessary,0,F,22,42,0,INCORRECT,0.63,block2,age_question,0.12,0.79,1,F-S-Lily.png,0.52,MC,list2,list2_S,the lockdown,vaccine mandates,INCORRECT,NA,Lily,conservative,,NA,,0.8,36076,25,S,0.86,lockdown,,S,
4604,default,COVID is an overhyped virus,1,M,29,40,0,INCORRECT,0.76,block2,name_question,0,0.74,0.04,M-S-Anthony.png,0,critical,list2,list2_S,Mary,Sandra,INCORRECT,Mary didn't suggest that,Anthony,conservative,,suggest,,1,29960,26,S,1,covid,,S,
4604,default,medicaid is underfunded,0.71,F,30,37,1,CORRECT,0.3,block2,age_question,0.22,0.75,1,F-S-Sarah.png,0.34,critical,list2,list2_S,Allison,Bill,CORRECT,Allison doesn't think that,Sarah,liberal,,think,,0.73,28955,27,S,0.12,medicaid,,S,
4604,default,there are too few restrictions on welfare benefits,0.78,F,28,18,0,INCORRECT,0.28,block2,age_question,0.69,0.91,1,F-S-Rachel.png,0.34,itIsT_F,list2,list2_S,welfare,universal basic income,INCORRECT,NA,Rachel,conservative,,NA,,0.17,37533,28,S,0.92,welfare,,S,
4604,default,immigrants support the economy,0.1,F,29,21,0,INCORRECT,0.81,block2,age_question,0.78,0.61,1,F-N-Helen.png,0.66,critical,list2,list2_S,Ben,Elena,INCORRECT,Ben doesn't see that,Helen,liberal,,see,,0.19,29501,29,N,0.86,immigrants,,S,
4604,default,mask mandates are unnecessary,1,F,26,20,1,CORRECT,0.39,block2,name_question,0,0.47,1,F-S-Amy.png,0.19,critical,list2,list2_S,Wendy,Danielle,CORRECT,Wendy doesn't think that,Amy,conservative,,think,,1,30212,30,S,1,masks,,S,
4604,default,Trump's policies improved the American economy,0.26,F,34,20,1,CORRECT,0.51,block2,age_question,0.47,0.76,0.98,F-N-Lisa.png,0.66,critical,list2,list2_S,Tony,Sam,CORRECT,Tony isn't annoyed that,Lisa,conservative,,be_annoyed,,0.58,31431,31,N,0.49,Trump_economy,,S,
4604,default,the 2020 election was legitimate,1,M,25,39,0,INCORRECT,0.26,block2,name_question,0.04,0.67,0,M-S-Ryan.png,0.14,critical,list2,list2_S,Jen,Shari,INCORRECT,Jen didn't confess that,Ryan,liberal,,confess,,0.92,37882,32,S,0.25,2020_election,,S,
4604,default,the military is underfunded,0.03,F,36,42,1,CORRECT,0.79,block2,age_question,0.87,0.64,1,F-S-Donna.png,0.49,critical,list2,list2_S,Emma,Fran,CORRECT,Emma didn't confess that,Donna,conservative,,confess,,0.06,31816,33,S,0.97,military,,S,
4604,default,it is too easy to buy guns,,M,,,,,,block3,,,,,M-N-Daniel.png,,critical,list2,list2_S,,,,Owen doesn't know that,Daniel,liberal,,know,1,,27383,35,N,,gun_laws,NA,S,
4604,default,there are too few restrictions on welfare benefits,,F,,,,,,block3,,,,,F-S-Rachel.png,,itIsT_F,list2,list2_S,,,,NA,Rachel,conservative,,NA,0.03,,27970,36,S,,welfare,false,S,
4604,default,the 2020 election was legitimate,,M,,,,,,block3,,,,,M-S-Ryan.png,,critical,list2,list2_S,,,,Jen didn't confess that,Ryan,liberal,,confess,0.2,,19884,37,S,,2020_election,NA,S,
4604,default,last month's newsletter was sent late,,F,,,,,,block3,,,,,F-N-Anna.png,,critical,list2,list2_S,,,,Liam doesn't see that,Anna,N,,see,1,,14790,38,N,,newsletter,NA,S,
4604,default,it is too hard to get an abortion,,M,,,,,,block3,,,,,M-S-Joseph.png,,critical,list2,list2_S,,,,Grace didn't suggest that,Joseph,liberal,,suggest,0.27,,20224,39,S,,abortion,NA,S,
4604,default,these events are well-organized,,M,,,,,,block3,,,,,M-S-Michael.png,,critical,list2,list2_S,,,,Leah doesn't think that,Michael,N,,think,0.16,,18351,40,S,,organized,NA,S,
4604,default,medicaid is underfunded,,F,,,,,,block3,,,,,F-S-Sarah.png,,critical,list2,list2_S,,,,Allison doesn't think that,Sarah,liberal,,think,0.94,,14696,41,S,,medicaid,NA,S,
4604,default,the organizers' contact info is outdated,,M,,,,,,block3,,,,,M-N-James.png,,critical,list2,list2_S,,,,Noah doesn't know that,James,N,,know,0.97,,13318,42,N,,contact,NA,S,
4604,default,Trump handled the pandemic well,,M,,,,,,block3,,,,,M-N-Tim.png,,critical,list2,list2_S,,,,Danny doesn't see that,Tim,conservative,,see,0.12,,17260,43,N,,Trump_pandemic,NA,S,
4604,default,the break will be shortened today,,M,,,,,,block3,,,,,M-S-Jason.png,,critical,list2,list2_S,,,,Amelia didn't suggest that,Jason,N,,suggest,0.06,,12392,44,S,,break,NA,S,
4604,default,the minimum wage is too low,,F,,,,,,block3,,,,,F-N-Elizabeth.png,,critical,list2,list2_S,,,,Ken isn't annoyed that,Elizabeth,liberal,,be_annoyed,0.9,,12769,45,N,,minimum_wage,NA,S,
4604,default,the agenda is longer than usual today,,F,,,,,,block3,,,,,F-N-Michelle.png,,critical,list2,list2_S,,,,Ethan isn't annoyed that,Michelle,N,,be_annoyed,0.23,,22313,46,N,,agenda,NA,S,
4604,default,the event was advertised on social media,,F,,,,,,block3,,,,,F-S-Kimberly.png,,critical,list2,list2_S,,,,Chloe didn't confess that,Kimberly,N,,confess,0.08,,12626,47,S,,social_media,NA,S,
4604,default,mask mandates are unnecessary,,F,,,,,,block3,,,,,F-S-Amy.png,,critical,list2,list2_S,,,,Wendy doesn't think that,Amy,conservative,,think,0.05,,13367,48,S,,masks,NA,S,
4604,default,closing businesses during COVID was unnecessary,,F,,,,,,block3,,,,,F-S-Lily.png,,MC,list2,list2_S,,,,NA,Lily,conservative,,NA,1,,12411,49,S,,lockdown,NA,S,
4604,default,immigrants support the economy,,F,,,,,,block3,,,,,F-N-Helen.png,,critical,list2,list2_S,,,,Ben doesn't see that,Helen,liberal,,see,0.89,,27344,50,N,,immigrants,NA,S,
4604,default,COVID is an overhyped virus,,M,,,,,,block3,,,,,M-S-Anthony.png,,critical,list2,list2_S,,,,Mary didn't suggest that,Anthony,conservative,,suggest,0.08,,15980,51,S,,covid,NA,S,
4604,default,Trump's policies improved the American economy,,F,,,,,,block3,,,,,F-N-Lisa.png,,critical,list2,list2_S,,,,Tony isn't annoyed that,Lisa,conservative,,be_annoyed,0.09,,16351,52,N,,Trump_economy,NA,S,
4604,default,the uprising at the Capitol was patriotic,,M,,,,,,block3,,,,,M-N-John.png,,critical,list2,list2_S,,,,Glenn doesn't know that,John,conservative,,know,0.95,,12622,53,N,,capitol_uprising,NA,S,
4604,default,the military is underfunded,,F,,,,,,block3,,,,,F-S-Donna.png,,critical,list2,list2_S,,,,Emma didn't confess that,Donna,conservative,,confess,0.96,,15723,54,S,,military,NA,S,
4604,default,the event website is working now,,M,,,,,,block3,,,,,M-N-Jacob.png,,MC,list2,list2_S,,,,NA,Jacob,N,,NA,1,,10938,55,N,,website,NA,S,
4697,default,the 2020 election was legitimate,,M,,,,,,block1,,,,,M-N-Tim.png,,critical,list2,list2_NS,,,,Jen didn't suggest that,Tim,liberal,0.92,suggest,,,5725,4,N,,2020_election,,NS,
4697,default,the minimum wage is too low,,F,,,,,,block1,,,,,F-S-Donna.png,,critical,list2,list2_NS,,,,Ken didn't say that,Donna,liberal,0.95,say,,,5759,5,S,,minimum_wage,,NS,
4697,default,closing businesses during COVID was unnecessary,,F,,,,,,block1,,,,,F-N-Ashley.png,,MC,list2,list2_NS,,,,NA,Ashley,conservative,0.04,NA,,,2896,6,N,,lockdown,,NS,
4697,default,it is too easy to buy guns,,M,,,,,,block1,,,,,M-S-Joseph.png,,critical,list2,list2_NS,,,,Owen didn't pretend that,Joseph,liberal,0.54,pretend,,,3112,7,S,,gun_laws,,NS,
4697,default,the military is underfunded,,F,,,,,,block1,,,,,F-N-Elizabeth.png,,critical,list2,list2_NS,,,,Emma didn't suggest that,Elizabeth,conservative,0.49,suggest,,,2768,8,N,,military,,NS,
4697,default,mask mandates are unnecessary,,F,,,,,,block1,,,,,F-N-Lisa.png,,critical,list2,list2_NS,,,,Wendy doesn't see that,Lisa,conservative,0,see,,,3416,9,N,,masks,,NS,
4697,default,COVID is an overhyped virus,,M,,,,,,block1,,,,,M-N-John.png,,critical,list2,list2_NS,,,,Mary doesn't know that,John,conservative,0,know,,,2528,10,N,,covid,,NS,
4697,default,the capital of the US is in Ohio,,NA,,,,,,block1,,,,,NA.png,,O,list2,list2_NS,,,,NA,NA,NA,0,NA,,,3248,11,NA,,capital,,NS,
4697,default,Trump handled the pandemic well,,M,,,,,,block1,,,,,M-S-Ryan.png,,critical,list2,list2_NS,,,,Danny didn't hear that,Ryan,conservative,0.08,hear,,,3784,12,S,,Trump_pandemic,,NS,
4697,default,Trump's policies improved the American economy,,F,,,,,,block1,,,,,F-S-Amy.png,,critical,list2,list2_NS,,,,Tony didn't say that,Amy,conservative,0.45,say,,,6343,13,S,,Trump_economy,,NS,
4697,default,medicaid is underfunded,,F,,,,,,block1,,,,,F-N-Helen.png,,critical,list2,list2_NS,,,,Allison doesn't see that,Helen,liberal,0.49,see,,,2448,14,N,,medicaid,,NS,
4697,default,immigrants support the economy,,F,,,,,,block1,,,,,F-S-Sarah.png,,critical,list2,list2_NS,,,,Ben didn't hear that,Sarah,liberal,0.5,hear,,,8520,15,S,,immigrants,,NS,
4697,default,U.S. presidential elections are held in November,,NA,,,,,,block1,,,,,NA.png,,O,list2,list2_NS,,,,NA,NA,NA,1,NA,,,3608,16,NA,,elections,,NS,
4697,default,the uprising at the Capitol was patriotic,,M,,,,,,block1,,,,,M-S-Anthony.png,,critical,list2,list2_NS,,,,Glenn didn't pretend that,Anthony,conservative,0,pretend,,,3320,17,S,,capitol_uprising,,NS,
4697,default,it is too hard to get an abortion,,M,,,,,,block1,,,,,M-N-Daniel.png,,critical,list2,list2_NS,,,,Grace doesn't know that,Daniel,liberal,0.5,know,,,6712,18,N,,abortion,,NS,
4697,default,closing businesses during COVID was unnecessary,0.52,F,28,41,0,INCORRECT,0.58,block2,age_question,0.51,0.52,0.51,F-N-Ashley.png,0.51,MC,list2,list2_NS,the lockdown,capitol punishment,INCORRECT,NA,Ashley,conservative,,NA,,0.51,43074,20,N,0.51,lockdown,,NS,
4697,default,the 2020 election was legitimate,0.53,M,26,24,0,INCORRECT,0.49,block2,name_question,0.51,0.5,0,M-N-Tim.png,0.37,critical,list2,list2_NS,Jen,Sandra,INCORRECT,Jen didn't suggest that,Tim,liberal,,suggest,,0.51,31560,21,N,0.51,2020_election,,NS,
4697,default,medicaid is underfunded,0.36,F,29,24,0,INCORRECT,0.52,block2,age_question,0.51,0.52,0.72,F-N-Helen.png,0.52,critical,list2,list2_NS,Allison,Isabelle,INCORRECT,Allison doesn't see that,Helen,liberal,,see,,0.51,32111,22,N,0.51,medicaid,,NS,
4697,default,it is too hard to get an abortion,0.21,M,34,37,0,INCORRECT,0.5,block2,name_question,0.65,0.5,0.26,M-N-Daniel.png,0.49,critical,list2,list2_NS,Grace,Judith,INCORRECT,Grace doesn't know that,Daniel,liberal,,know,,0.35,30495,23,N,0.57,abortion,,NS,
